no,url,judul,isi
1,https://www.tvonenews.com/daerah/sulawesi/420722-bandara-sultan-hasanuddin-tetap-layani-rute-makassar-jeddah-di-tengah-perang-iran-vs-israel-as,Bandara Sultan Hasanuddin Tetap Layani Rute Makassar-Jeddah di Tengah Perang Iran vs Israel-AS,"Makassar, tvOnenews.com- Operasional penerbangan diBandaraInternasional Sultan Hasanuddin (UPG) Makassar dipastikan tetap berjalan normal di tengah memanasnya perang Iran melawan Israel dan Amerika Serikat. Terdapat sejumlah jadwal penerbangan Jeddah-Makassar maupun sebaliknya. General Manager Kantor Cabang Bandara Sultan Hasanuddin, Minggus Gandeguai, mengatakan pihaknya terus melakukan pemantauan aktif terhadap perkembangan global yang berpotensi berdampak pada operasional penerbangan. ADVERTISEMENT GULIR UNTUK LANJUT BACA ""Hingga saat ini operasional dan layanan penerbangan rute Jeddah dari dan menuju Makassar tetap berjalan normal,"" ujarnya dalam keterangan tertulis, Selasa (2/4/2026). Minggus memastikan hingga saat ini belum ada penerbangan rute Timur Tengah, khususnya Jeddah, yang terdampak situasi tersebut. Berdasarkan data operasional, pada 1 Maret 2026 penerbangan kedatangan rute Jeddah–Makassar yang dilayani Lion Air berlangsung aman dan lancar dengan total 386 penumpang. Selanjutnya, pada Senin (2/3/2026), penerbangan keberangkatan Makassar–Jeddah yang dilayani maskapai Flyadeal tercatat berstatus on schedule dengan jumlah 79 penumpang. ""Kami terus berkoordinasi dengan maskapai dan stakeholder terkait untuk memastikan keselamatan, keamanan, dan kenyamanan pengguna jasa tetap terjaga,"" jelasnya. Pihak bandara juga memastikan koordinasi intensif dilakukan bersama seluruh pemangku kepentingan, termasuk maskapai dan otoritas terkait, guna mengantisipasi perkembangan situasi secara berkala. Manajemen bandara mengimbau calon penumpang agar memantau informasi resmi dari maskapai masing-masing serta datang lebih awal ke bandara untuk memastikan kelancaran proses keberangkatan. (wsn/asm) ADVERTISEMENT GULIR UNTUK LANJUT BACA"
2,https://www.tvonenews.com/daerah/sulawesi/420029-seorang-pelajar-smp-di-sikka-ntt-nekat-habis-nyawa-adik-kelas,Seorang Pelajar SMP di Sikka NTT Nekat Habis Nyawa Adik Kelas,"Sikka, tvOnenews.com-FRG, seorang anak lelaki 16 tahun, warga Desa Rubit, Kecamatan Hewokloang, yang duduk di bangku Sekolah Menengah Pertama (SMP), tega menghabisi nyawa STN, seorang gadis berusia 14 tahun yang tak lain merupakan adik kelasnya, di Kabupaten Sikka, Nusa Tenggara Timur. ""Setalah dilakukan pemeriksan terduka dan 7 orang saksi,Polres Sikkamenetapkan FRG, anak berusia 16 tahun sebagai pelaku pembunuhan terhadap STN. Pelaku merupakan kakak kelas korban,"" kata Kapolres Sikka, AKBP Bambang Supeno melalui kasie Humas Polres Sikka, Ipda Leonardus Tungga, Sabtu (28/2/2026). ADVERTISEMENT GULIR UNTUK LANJUT BACA Kasie Humas Polres Sikka menjelaskan, Aksi nekat FRG ini terjadi pada hari Jumat, 20 Februari 2026, sekitar pukul 15.30 WITA, bertempat di rumahnya yang berlokasi dusun Wolonkereng. Peristiwa memilukan ini bermula ketikakorban STNmendatangi rumah FRG dengan maksud mengambil gitar yang dipinjam pelaku. Saat keduanya berada di dapur, FRG memaksa korban melakukan hubungan badan, tetapi korban menolak dan mengancam akan melaporkan perbuatan tersebut. ""Ketegangan memuncak saat FRG merampas telepon genggam korban, yang disusul dengan terjadinya kontak fisik di antara keduanya,"" kata Ipda Leo menjelaskan. Dalam kondisi emosi yang tidak terkendali, lanjut Ipda Leo menjelaskan, FRG mengambil sebilah parang bekas membelah durian, lalu menganiaya korban secara sadis. FRG melukai leher dan kepala korban berulang kali hingga mengakibatkan korban meninggal dunia di tempat dengan kondisi luka yang sangat parah. Setelah memastikan korban tak bernyawa, FRG berusaha menyembunyikan jasad korban di belakang rumah dengan menutupinya menggunakan daun talas dan bambu. ADVERTISEMENT GULIR UNTUK LANJUT BACA ""Merasa tidak aman pelaku FRG memindahkan lagi korban tempat kedua yakni di kali  dan menutupnya dengan kayu dan daun sebelum akhirnya melarikan diri ke wilayah Kabupaten Ende namun berhasil ditangkap tim Buser Polres Sikka"" Jelasnya. Akibat Perbuatan keji ini, kata Leo, FRG dijerat dengan pasal 473 ayat (2) huruf b Undang-Undang Nomor 1 tahun 2023 tentang kitab Undang-undang Hukum Pidana dan pasal 80 ayat (3) Undang-Undang Nomor 35 tahun 2014 tentang perubahan atas Undang-undang  Nomor 23 tahun 2002 tentang perlindungan anak."
3,https://www.tvonenews.com/daerah/sulawesi/419370-di-tengah-tekanan-global-dan-dinamika-industri-pt-vale-catat-penjualan-22-juta-ton-ore-pada-awal-2026-di-morowali,"Di Tengah Tekanan Global dan Dinamika Industri, PT Vale Catat Penjualan 2,2 Juta Ton Ore pada Awal 2026 di Morowali","Morowali, tvOnenews.com- Ketika industri pertambangan global menghadapi tekanan harga komoditas dan tantangan rantai pasok, serta tuntutan standar keberlanjutan yang semakin tinggi,PT Vale IndonesiaTbk (PT Vale) yang merupakan anggota holding Industri Pertambangan Indonesia (MIND ID) melalui Indonesia Growth Project (IGP) Morowali justru menunjukkan ketangguhan operasionalnya. Memasuki awal tahun 2026, perusahaan berhasil mencatatkan produksi dan penjualan mencapai 2,2 juta ton ore, sebuah capaian strategis yang menegaskan konsistensi kinerja di tengah situasi yang tidak mudah. ADVERTISEMENT GULIR UNTUK LANJUT BACA Angka tersebut bukan sekadar statistik produksi, melainkan representasi dari disiplin eksekusi, perencanaan yang matang, serta soliditas kolaborasi lintas fungsi di seluruh lini operasional. Di tengah tantangan cuaca, dinamika pasar yang fluktuatif, hingga peningkatan standar kepatuhan dan tata kelola lingkungan,PT Vale IGP Morowalimampu menjaga ritme produksi dan pengiriman sesuai target yang telah ditetapkan. Direktur dan Chief Project Officer PT Vale Indonesia, Muhammad Asril, menyampaikan bahwa capaian tersebut merupakan hasil kerja kolektif seluruh elemen perusahaan dan dukungan para pemangku kepentingan. “Capaian 2,2 juta ton penjualan ore pada awal tahun ini adalah buah dari kolaborasi dan komitmen bersama."" ujar Muhammad Asril. ""Saya menyampaikan apresiasi dan terima kasih kepada seluruh karyawan, mitra kerja, kontraktor, pemerintah, serta seluruh stakeholder yang telah memberikan dukungan penuh sehingga operasional dapat berjalan dengan baik di tengah berbagai tantangan,” lanjutnya. Menurutnya, keberhasilan ini tidak hanya berbicara tentang angka produksi dan penjualan, namun juga tentang konsistensi dalam menjalankan prinsip pertambangan yang bertanggung jawab. Perseroan terus memastikan bahwa setiap aktivitas operasional dilaksanakan dengan mengedepankan aspek keselamatan kerja, perlindungan lingkungan, serta pemberdayaan masyarakat sekitar wilayah operasi. ADVERTISEMENT GULIR UNTUK LANJUT BACA Komitmen keberlanjutan ini diwujudkan secara konkret di Kabupaten Morowali melalui peningkatan pendidikan, penguatan layanan kesehatan, pemberdayaan ekonomi, pengembangan infrastruktur dasar, program lingkungan, serta peningkatan kapasitas masyarakat, sekaligus mendorong dampak ekonomi lewat penyerapan tenaga kerja dan kemitraan lokal. Hingga akhir Januari 2026,  telah dilakukan hydroseeding seluas 16 hektare, pemasangan pengendalian erosi di Mine Haul Road, dan fasilitas nursery berkapasitas awal 400 ribu bibit per tahun untuk mendukung reklamasi pascatambang."
4,https://www.tvonenews.com/daerah/sulawesi/419230-menantu-pelaku-rudapaksa-mertua-hendak-kabur-lewat-plafon-saat-ditangkap-polisi,"Menantu Pelaku Rudapaksa Mertua, Hendak Kabur Lewat Plafon Saat Ditangkap Polisi","Gowa, tvOnenews.com– TimResmobSatreskrim Polres Gowa bersama Unit Kamneg Sat Intelkam Polres Gowa mengamankan seorang pria berinisial S-A (44) yang diduga melakukan tindak pidana kekerasan seksual terhadap ibu mertuanya sendiri. Penangkapan berlangsung dramatis setelah pelaku berusaha bersembunyi di atas plafon rumahnya saat hendak ditangkap. ADVERTISEMENT GULIR UNTUK LANJUT BACA Penggerebekan dilakukan di rumah pelaku yang berada di Kelurahan Parang Banua, Kecamatan Pallangga, Kabupaten Gowa, Sulawesi Selatan. Tim Resmob Satreskrim bersama personel Kamneg Sat Intelkam Polres Gowa mengepung rumah tersebut setelah melakukan penyelidikan berdasarkan laporan korban. Saat petugas tiba dan melakukan penggeledahan, pelaku diketahui naik ke bagian atas rumah dan bersembunyi di atas plafon untuk menghindari penangkapan. Namun, upaya tersebut tidak membuahkan hasil. Polisi akhirnya berhasil menemukan dan menurunkan pelaku dari tempat persembunyiannya. Pelaksana Tugas Kasat Reskrim Polres Gowa, IPTU Arman Tarru, didampingi Kanit Resmob Polres Gowa menjelaskan bahwa penangkapan dilakukan setelah pihaknya menerima laporan dari korban berinisial H-A (49), yang merupakan ibu mertua pelaku. “Kami menerima laporan dari korban terkait dugaan tindak pidana kekerasan seksual. Berdasarkan laporan tersebut, tim langsung bergerak cepat melakukan penyelidikan hingga akhirnya mengarah kepada terduga pelaku,” ujar IPTU Arman saat di konfirmasi. Kamis (26/2/2026) Ia menambahkan, saat proses penangkapan, pelaku sempat berusaha menghindari petugas dengan bersembunyi di atas plafon rumahnya. “Ketika tim tiba di lokasi, yang bersangkutan mencoba mengelabui petugas dengan naik dan bersembunyi di atas plafon. Namun berkat kesigapan anggota, pelaku berhasil diamankan,” jelasnya. Menurut IPTU Arman, dari hasil pemeriksaan awal, pelaku mengakui perbuatannya. Peristiwa tersebut diduga terjadi saat korban sedang beristirahat di dalam rumah. “Dari pengakuan sementara, pelaku mengakui telah melakukan perbuatan tersebut ketika korban sedang tertidur. Saat ini kami masih mendalami motif serta kronologi lengkap kejadian,” tambahnya. ADVERTISEMENT GULIR UNTUK LANJUT BACA Ia juga menegaskan bahwa motif pelaku yaitu karena hawa nafsu. Dan kini pihaknya yelah  menangani kasus ini. “motifnya karena hawa nasfu. Untuk Proses hukumnya, sementara kami tangani dan akan memeriksa pelaku lebih lanjut. Kami juga memastikan korban mendapatkan pendampingan sesuai dengan ketentuan yang berlaku,” tegas IPTU Arman."
5,https://www.tvonenews.com/daerah/sulawesi/419362-hapus-darah-kapolda-sulsel-sebut-2-personel-terancam-sanksi-etik-di-kasus-kematian-bripda-dp,"Hapus Darah, Kapolda Sulsel sebut 2 Personel Terancam Sanksi Etik di Kasus Kematian Bripda DP","Makassar, tvOnenews.com- Bidpropam dan Ditkrimum terus melakukan penyidikan terkait kematian polisi mudaBripda DPusai dianiaya seniornya inisial Bripda P. Kapolda Suslel Irjen Pol Djuhandhani Raharjo Puro menyebut dari delapan orang saksi yang diperiksa, dua orang personel terancam sanksi etik dan disiplin. ""Dari delapan orang yang diperiksa, kami belum mendapatkan bukti secara langsung mereka terlibat dalam kasus pembunuhan (penganiayaan Bripda DP). Namun, kami menduga dan kami mendalami lebih lanjut, ada dua orang yang kita duga atau kita kenakan dalam proses disiplin maupun kode etik,"" ujarnya saat jumpa pers di Mapolda Sulsel, Kamis (26/2/2026). ADVERTISEMENT GULIR UNTUK LANJUT BACA Djuhandhani menyebut dua personel tersebut yakni Bripda MF dan Bripda MA. Djuhandhani mengungkapkan Bripda MF sempat membersihkan darah pada tubuh Bripda DP. ""Kami melihat ada salah satu seorang atas nama Bripda MF itu membersihkan darah dengan maksud agar tidak diketahui ada kejadian itu,"" ujarnya. Sementara, Bripda MA tidak melapor meski melihat kejadian penganiayaan terhadap Bripda DP oleh Bripda P. ""Satu orang anggota yang melihat kejadian tersebut, tapi tidak melaporkan. Sehingga anggota itu kita kenakan atau pun kita dudukkan dalam proses tindak kode etik ataupun disiplin,"" ungkapnya. Djuhandhani mengaku kedua anggota tersebut tidak bisa dijerat tindak pidana dikarenakan dalam KUHP baru tidak diatur. Olehnya itu, keduanya hanya dikenakan kode etik dan disiplin. ""Kenapa dia ada yang kita kenakan disiplin atau kode etik, itu dikarenakan tidak diatur dalam KUHP baru, tapi kami kita tegakkan di situ (Kode Etik dan disiplin),"" jelas Djuhandhani. Djuhandhani juga menegaskan kasus kematian Bripda DP bukan pengeroyokan, tetapi penganiayaan yang dilakukan Bripda P. Bahkan, Djuhandhani menggambarkan penganiayaan dilakukan pelaku terhadap Bripda DP. ADVERTISEMENT GULIR UNTUK LANJUT BACA ""Perbuatan yang dilakukan Bripda P itu adalah perbuatan sendiri. Dilakukan dengan cara mencekik pake tangan kanan sambil memukuli sehingga mengakibatkan yang bersangkutan (Bripda DP) meninggal,"" lanjutnya. Penganiayaan tersebut pun sesuai dengan hasil visum yang dikeluarkan oleh Bidang Kedokteran dan Kesehatan (Biddokes) Polda Sulsel. Selain itu, keterangan dari saksi juga berkesesuaian."
6,https://www.tvonenews.com/daerah/sulawesi/419635-menteri-kkp-bangun-68-kampung-nelayan-merah-putih-di-sikka-wuring-jadi-lokasi-induk,"Menteri KKP Bangun 68 Kampung Nelayan Merah Putih di Sikka, Wuring Jadi Lokasi Induk","Sikka, tvOnenews.com- Menteri Kelautan dan Perikanan RI, Satria Wahyu Trenggono, melakukan kunjungan ke salah satu calonKampung Nelayan Merah Putihyang siap dibangun persisi di pesisir pantai Nangahure, KelurahanWuring, Kecamatan Alok Barat, Kabupaten Sikka, Nusa Tenggara Timur, Kamis (26/2/2026). Dalam kunjungan kerja tersebut,Menteri KKPmengatakan akan membangun 68 Kampung Nelayan Merah Putih di Kabupaten Sikka, guna mendukung produksi penangkapan ikan di laut Flores. ADVERTISEMENT GULIR UNTUK LANJUT BACA ""Saya turun untuk melihat salah satu titik calon kampung nelayan merah putih. Dan Kami akan membangun Kampung Nelayan Merah Putih di 68 desa dan kelurahan yang ada di Maumere ini,"" ungkap Menteri Kelautan dan Perikanan, Satria Wahyu Trenggono. Mentri Satria Wahyu Trenggono, menjelaskan saat ini Kementerian Perikanan dan Kelautan mengucurkan anggaran sekitar Rp 13 miliar hingga Rp 22 miliar untuk Pemkab Sikka guna membangun Kampung Nelayan Wuring demi peningkatan kesejahteraan ratusan nelayan di Kelurahan Wuring Kecamatan Alok Barat. Nantinya, lanjut Menteri KKKP, kampung nelayan merah putih di Nangahure menjadi induk sementara lainnya menjadi kampung nelayan penyangga, dengan dilengkapi fasilitas pendukung seperti seperti dermaga, pabrik es, kulstorits, perbekalan penangkapan dan bengkel kapal, serta bantuan kapal dengan bobot 5 GT bagi nelayan yang belum mendapat bantuan. ""Data yang ada, kita rencananya akan membangun kampung nelayan merah putih di 68 desa di sikka,"" tegasnya. Tujuan utama kampung nelayan merah putih lanjut dia, unruk meningkatkan produktivitas, kemandirian ekonomi, dan kesejahteraan nelayan serta pembudidaya ikan, sejalan dengan visi Indonesia Emas 2045. ""Guna menjawab kehadiran 68 kampung nelayan merah putih di Sikka, pemerintah kabupaten harus segera menyiapkan lahan  yang menjadi lokasi pembangunan,"" pintahnya. ADVERTISEMENT GULIR UNTUK LANJUT BACA Sementara itu, Bupati Sikka Juventus Prima Yoris Kago saat mendampingi Menteri Kelautan dan Perikanan mengaku, akan segera menyediakan lahan untuk pembangunan Kampung Nelayan Merah Putih. ""Saat ini lahan sudah disiapkan seluas kurang lebih 6.400 meter persegi. Khususnya untuk Kampung Nelayan merah putih di kelurahan Wuring. Kami akan segera menyiapkan lahan agar segera dibangun kampung nelayan yang tersebar di 68 desa yang ada,"" kata Bupati Sikka"
7,https://www.tvonenews.com/daerah/sulawesi/420714-aniaya-junior-hingga-meninggal-bripda-pirman-disanksi-ptdh,"Aniaya Junior hingga Meninggal, Bripda Pirman Disanksi PTDH","Makassar, tvOnenews.com- Bidang Profesi dan Pengamanan Kepolisian Daerah Sulawesi Selatan akhirnya menjatuhkan sanksi Pemecatan dengan Tidak Hormat (PTDH) bagi Bripda Pirman usai menganiaya juniornya Bripda Dirja Pratama hingga meninggal dunia. Sanksi PTDH diberikan usai Bripda Pirman menjalanisidang Etik. ADVERTISEMENT GULIR UNTUK LANJUT BACA Kepala BidangPropamPolda SulselKomisaris Besar Zulham Effendy mengatakan pihaknya langsung menindaklanjuti usai kejadian penganiayaan yang dilakukan Bripda Pirman yang menyebabkan Bripda Dirja Pratama meninggal dunia. Setelah dilakukan penyelidikan, Bripda Pirman pun menjalani sidang etik dan disiplin. ""Dari hasil penelitian dan penyelidikan, ternyata ada satu orang sebagai pelaku utama (Bripda Pirman) dan memang dia satu-satu yang memukul difakta persidangan,"" ujarnya usai sidang Kode Etik dan Disiplin di Mapolda Sulsel, Senin (2/3/2026). Zulham menjelaskan Bripda Pirman sempat membantah melakukan pemukulan berulang kali terhadap Bripda Dirja Pratama. Namun, bantahan Bripda Pirman tersebut patah usai adanya hasil visum dan keterangan 14 orang saksi yang dihadirkan dalam sidang. ""Awalnya pengakuannya hanya sekali mukul diperut dan bagian wajah. Ternyata fakta persidangan kita dapat ada beberapa kali. Itu kita sesuaikan dengan hasil dari visum yang terdapat ada beberapa bekas luka memar dan luka robek di bagian tubuhnya (Bripdad Dirja Pratama),"" ujarnya. Dari fakta persidangan tersebut, Komisi Etik memutuskan memberikan sanksi etik dan juga PTDH terhadap Bripda Pirman. Zulham mengaku sanksi tersebut sangat pantas karena menyebabkan korban meninggal dunia. ""Sanksi etik itu dinyatakan sebagai perbuatan tercela. Untuk sanksi administratif kita kenakan PTDH, karena memang itu sanksi yang pantas, karena menghilangkan nyawa daripada rekannya,"" ungkapnya. Zulham mengatakan sanksi PTDH diberikan kepada Bripda Pirman sudah sesuai dengan Pasal 13 Peraturan Pemerintah (PP) Nomor 1 Tahun 2003 tentang Pemberhentian Anggota Kepolisian Negara Republik Indonesia. Tak hanya itu, Bripda Pirman juga melanggar pasal 5, 8, dan 13 Peraturan Kapolri (Perpol) Nomor 7 tahun 2022 tentang Kode Etik Profesi Polri. ADVERTISEMENT GULIR UNTUK LANJUT BACA Sementara, tiga personel lainnya yakni Bripda MA, Bripda MF, dan Bripda MR akan menjalani sidang dijadwalkan Selasa (3/3) besok. ""Kita ada kenakan obstruction of justice ada tiga orang. Itu dia yang menyuruh mengepel, menghilangkan BB (barang bukti), kemudian yang melakukan pengepelan. Kemudian orang yang tahu bahwasannya ada orang yang merusak barang bukti itu dia tidak mencegah atau berusaha melaporkan kepada pimpinannya,"" tegasnya."
8,https://www.tvonenews.com/daerah/sulawesi/419715-membedah-risiko-liputan-lingkungan-fgd-ijti-sulsel-jadi-ruang-diskusi-jurnalis,"Membedah Risiko Liputan Lingkungan, FGD IJTI Sulsel Jadi Ruang Diskusi Jurnalis","Makassar, tvOnenews.com- IkatanJurnalisTelevisi Indonesia (IJTI) Sulawesi Selatan (Sulsel) menggandengWalhi Sulselmenggelar Forum Group Discussion (FGD) bertema perlindungan hukum dan tantangan jurnalis dalam peliputan isu lingkungan hidup digelar di Cafe Lorong, Jalan Salemba, Makassar, Kamis (26/2/2026). Ketua IJTI Pengda Sulsel, Andi Mohammad Sardi menilai FGD ini menjadi ruang refleksi sekaligus penguatan kapasitas bagi jurnalis. Khususnya, dalam menghadapi dinamika peliputan isu lingkungan. ADVERTISEMENT GULIR UNTUK LANJUT BACA ""Ini penting untuk memperkuat solidaritas dan kapasitas jurnalis. Isu lingkungan bukan isu biasa, dampaknya luas dan menyangkut kepentingan publik. Karena itu, kerja-kerja kolaboratif harus diperkuat,” ujarnya. Ia menegaskan komitmenIJTI Sulseluntuk mendorong peliputan kolaboratif isu lingkungan di daerah. ""Harapannya, liputan tidak hanya berhenti di pemberitaan, tapi juga berdampak pada perubahan kebijakan,” pungkasnya. Direktur LBH Pers Makassar, Fajriani Langgeng, mengungkapkan dalam banyak kasus lingkungan, terdapat aktor-aktor kuat yang terlibat. “Karena pengalaman untuk memetakan aktor itu kan sebenarnya perusahaan, kemudian ada keterlibatan aparat penegak hukum, kemudian pemerintah juga kelihatan pergerakan kebijakannya,” ujarnya. Ia menyoroti tantangan jurnalis dalam konteks KUHAP baru, khususnya terkait hukum acara penangkapan dan penahanan. “Nah, menurut LBH Pers, jurnalis yang khusus melakukan liputan investigasi harus lebih memitigasi kondisi-kondisi terburuk yang akan terjadi di lapangan. Seperti KUHAP baru ini mengatur penjemputan paksa tanpa melakukan proses klarifikasi dan seterusnya,” jelasnya. Padahal, lanjutnya, dalam mekanisme penyelesaian sengketa pers sebelumnya, proses klarifikasi lebih diutamakan melalui koordinasi dengan Dewan Pers. “Di mekanisme sebelumnya itu mengedepankan klarifikasi dulu. Ada koordinasi dengan Dewan Pers dan lembaga-lembaga terkait,” katanya. Terkait peran perusahaan, Fajriani menegaskan bahwa akses informasi yang transparan menjadi kunci. ADVERTISEMENT GULIR UNTUK LANJUT BACA “Perusahaan karena ada kepentingan publik maka sebaiknya informasi untuk publik itu diberikan secara transparan. Fungsi jurnalis itu mengembangkan amanah kerja-kerja perlindungan kemanusiaan, jadi jangan dilihat personalnya saja. Ada hal yang lebih besar yang diemban seorang jurnalis,” tegasnya. Ia juga menilai tantangan jurnalis di era digital semakin kompleks, khususnya dalam peliputan isu tambang dan lingkungan."
9,https://www.tvonenews.com/daerah/sulawesi/420038-viral-aksi-pembusuran-di-pallangga-terungkap-dua-remaja-diamankan-polres-gowa,"Viral Aksi Pembusuran di Pallangga Terungkap, Dua Remaja Diamankan Polres Gowa","Gowa, tvOnenews.com- Aksipembusuranyang sempat viral danmeresahkan wargaKecamatan Pallangga, Kabupaten Gowa, akhirnya terungkap.Polres Gowamengamankan dua remaja berusia 17 tahun yang diduga melakukan penyerangan secara acak usai mengonsumsi minuman keras. “Pada malam hari ini, Polres Gowa menyampaikan rilis terkait aksi pembusuran yang sempat viral beberapa waktu lalu di Kecamatan Pallangga,” ujar Kapolres Gowa, AKBP Muhammad Aldy Sulaiman, Sabtu (28/02/2026). ADVERTISEMENT GULIR UNTUK LANJUT BACA Ia menjelaskan, tim gabungan Unit Resmob Satreskrim Polres Gowa, bersama Kamneg Sat Intelkam Polres Gowa, berhasil mengamankan dua terduga pelaku. Kedua pelaku yang diamankan itu, berinisial FJ dan RF, masing-masing berusia 17 tahun. “Aksi ini berhasil kami ungkap setelah adanya laporan polisi serta viralnya pemberitaan. Korban mengalami luka akibat busur panah di bagian tangan kanan,” ungkapnya. Kapolres menegaskan, bahwa kedua pelaku diamankan berstatus anak di bawah umur. Meski demikian, proses hukum tetap berjalan sesuai ketentuan perundang-undangan yang berlaku. Dalam pengungkapan tersebut, polisi turut mengamankan sejumlah barang bukti berupa dua anak busur panah, satu ketapel, serta satu senjata tajam jenis pisau. Terkait motif, Kapolres Gowa menegaskan bahwa aksi pembusuran tersebut tidak dilatarbelakangi dendam pribadi. “Motifnya adalah target acak. Para pelaku melakukan konvoi dan melakukan pembusuran tanpa target tertentu, setelah sebelumnya mengonsumsi minuman keras,” tegasnya. Sementara itu, Pelaksana Tugas Kasat Reskrim Polres Gowa, Iptu Arman Tarru, menyampaikan bahwa para tersangka dijerat dengan pasal khusus karena masih berusia di bawah umur. “Pasal yang kami persangkakan adalah Pasal 80 Undang-Undang tentang Perlindungan Anak terkait kekerasan terhadap anak, dengan ancaman hukuman 5 hingga 15 tahun penjara,” jelasnya. AKBP Aldy, mengatakan, Polres Gowa berkomitmen penuh untuk menindak tegas segala bentuk kejahatan, khususnya kejahatan jalanan yang meresahkan masyarakat. ADVERTISEMENT GULIR UNTUK LANJUT BACA “Sesuai arahan Kapolda Sulawesi Selatan, Polres Gowa akan terus menciptakan rasa aman bagi masyarakat dan menjadikan Kabupaten Gowa sebagai wilayah yang tidak aman bagi para pelaku kejahatan, khususnya kejahatan jalanan,” tegasnya. Ia juga mengimbau masyarakat agar tidak ragu melaporkan setiap informasi atau menjadi korban tindak pidana dengan menghubungi layanan kepolisian di nomor darurat 110. (itg/frd)"
10,https://www.tvonenews.com/daerah/sulawesi/420831-inflasi-di-sulsel-104-persen-dipicu-oleh-kenaikan-harga-cabai,"Inflasi di Sulsel 1,04 Persen, Dipicu oleh Kenaikan Harga Cabai","tvOnenews.com-Inflasibulanan (month-to-month/mtm) pada Februari 2026 diSulawesi Selatanmencapai 1,04 persen. Badan Pusat Statistik (BPS) Provinsi Sulawesi Selatan (Sulsel) mengatakan, hal ini dipicu oleh kenaikan kelompok makanan, minuman dan tembakau khususnya komoditascabairawit. Kepala BPS Sulsel Aryanto di Makassar, Selasa, mengatakan kelompok makanan, minuman dan tembakau memberikan andil yang cukup besar dalam inflasi mtm Februari 2026 yakni sebesar 0,65 persen. Beberapa komoditi yang mengalami lonjakan dan paling tinggi yakni cabai rawit serta bawang merah. ADVERTISEMENT GULIR UNTUK LANJUT BACA Ia mengatakan sejumlah komoditas pangan tercatat sebagai penyumbang utama inflasi pada periode tersebut. Cabai rawit menjadi komoditas dengan andil terbesar, yakni sebesar 0,12 persen. Kenaikan harga cabai rawit yang cukup signifikan di pasaran mendorong lonjakan inflasi lebih tinggi dibandingkan komoditas lainnya. Selain cabai rawit, beberapa komoditas hasil perikanan juga memberikan kontribusi cukup besar terhadap inflasi Februari 2026. ""Udang basah, ikan cakalang atau ikan sisik, ikan bandeng atau ikan bolu, serta ikan layang atau ikan benggol masing-masing menyumbang inflasi sebesar 0,05 persen,"" katanya. Aryanto mengatakan tingginya kontribusi kelompok ikan ini menunjukkan adanya tekanan harga pada sektor perikanan, yang kemungkinan dipengaruhi oleh faktor cuaca, distribusi, maupun peningkatan permintaan. Komoditas hortikultura juga turut memberikan andil. Tomat menyumbang inflasi sebesar 0,04 persen, diikuti telur ayam ras dan kacang panjang yang masing-masing berkontribusi sebesar 0,03 persen. Sementara itu, ikan teri dan sawi hijau masing-masing menyumbang sebesar 0,02 persen terhadap inflasi bulanan. Secara keseluruhan, kenaikan harga pada berbagai komoditas pangan segar, baik dari sektor pertanian maupun perikanan, menjadi pendorong utama inflasi secara bulanan di Sulawesi Selatan pada Februari 2026. ""Kondisi ini mencerminkan masih adanya dinamika pasokan dan permintaan yang memengaruhi stabilitas harga di tingkat konsumen,"" katanya menerangkan. ADVERTISEMENT GULIR UNTUK LANJUT BACA Selain itu, inflasi secara tahunan atau year-on-year (yoy) sebesar 6,13 persen dengan Indeks Harga Konsumen (IHK) mencapai 110,93. Secara umum, inflasi tertinggi tercatat di Kabupaten Sidenreng Rappang (Sidrap) dengan capaian sebesar 7,54 persen dan IHK sebesar 109,37. Tingginya inflasi di daerah tersebut menunjukkan tekanan harga yang relatif lebih besar dibandingkan kabupaten/kota lainnya di Sulawesi Selatan."
